Firm,Date,Complaints per 1000,Closed,Upheld%,Closed 8 weeks+%,FOS new cases#,FOS Upheld%,FOS cases per 1m
LLOYDS BANKING GROUP PLC,2018 - H1,3.852584399,267721,0.540940008,0.020103018,7321,0.151737468,105.351356
LLOYDS BANKING GROUP PLC,2018 - H2,3.367977976,236607,0.560105999,0.012248158,7106,0.185871095,101.1502259
LLOYDS BANKING GROUP PLC,2019 - H1,2.793703239,191954,0.593173364,0.017571918,6098,0.246643162,88.75044205
LLOYDS BANKING GROUP PLC,2019 - H2,2.846658021,196197,0.585865227,0.021799518,5418,0.266845683,78.61074918
LLOYDS BANKING GROUP PLC,2020 - H1,2.429902359,160199,0.581452113,0.066242611,4957,0.244160948,75.18789751
LLOYDS BANKING GROUP PLC,2020 - H2,2.601028104,182739,0.621779155,0.189986812,6998,0.332998212,99.60651352
LLOYDS BANKING GROUP PLC,2021 - H1,2.456713253,185798,0.586927739,0.167978127,8416,0.330451247,111.2805237
LLOYDS BANKING GROUP PLC,2021 - H2,2.566547682,182257,0.605792507,0.020997822,6316,0.356195562,88.94207168
LLOYDS BANKING GROUP PLC,2022 - H1,2.540237116,176709,0.637047386,0.016694113,4997,0.291584177,71.83315434
LLOYDS BANKING GROUP PLC,2022 - H2,2.331819503,165837,0.669476576,0.026664737,5475,0.294642339,76.98349451
LLOYDS BANKING GROUP PLC,2023 - H1,2.247234448,157994,0.664810056,0.022165399,6238,0.324887577,88.72646103
LLOYDS BANKING GROUP PLC,2023 - H2,2.17413069,157690,0.657550423,0.048329,6499,0.304892986,89.60413058
LLOYDS BANKING GROUP PLC,2024 - H1,1.959534566,145188,0.632108393,0.042765242,10993,0.343002508,148.3673822
LLOYDS BANKING GROUP PLC,2024 - H2,1.941813512,141666,0.662751584,0.044075502,11227,0.330681459,153.8883028
LLOYDS BANKING GROUP PLC,2025 - H1,2.037623684,150492,0.670829034,0.107739265,13832,0.28374198,187.2817877
HSBC HOLDINGS PLC,2018 - H1,8.459138503,226679,0.536741383,0.01895191,3348,0.249775986,124.9396535
HSBC HOLDINGS PLC,2018 - H2,8.192676743,221643,0.563960964,0.010512401,2994,0.302321309,110.6683909
HSBC HOLDINGS PLC,2019 - H1,8.029263021,222910,0.539446413,0.013337221,2852,0.279579243,102.7296135
HSBC HOLDINGS PLC,2019 - H2,7.985968959,223018,0.560860558,0.007237084,2367,0.362141643,84.75902629
HSBC HOLDINGS PLC,2020 - H1,5.886607995,166188,0.563885611,0.005505813,2399,0.31653311,84.97588623
HSBC HOLDINGS PLC,2020 - H2,5.796175944,161722,0.574856371,0.009355561,3853,0.359771095,138.0929367
HSBC HOLDINGS PLC,2021 - H1,5.833331929,161072,0.558806,0.018811463,4419,0.417473997,160.0370877
HSBC HOLDINGS PLC,2021 - H2,5.89979207,160168,0.559174766,0.0239998,3394,0.476618567,125.0180703
HSBC HOLDINGS PLC,2022 - H1,5.022251771,139405,0.594130041,0.019920376,3252,0.431225936,117.157654
HSBC HOLDINGS PLC,2022 - H2,4.672093184,132460,0.603202552,0.002914087,2973,0.399079765,104.8628494
HSBC HOLDINGS PLC,2023 - H1,3.918407523,114384,0.594549937,0.002946216,3250,0.399503882,111.3339667
HSBC HOLDINGS PLC,2023 - H2,3.866601715,110411,0.620050999,0.003794912,3093,0.381848096,108.317098
HSBC HOLDINGS PLC,2024 - H1,3.655600622,112718,0.607798218,0.005252045,3344,0.353062658,108.4505445
HSBC HOLDINGS PLC,2024 - H2,3.247666308,100048,0.602874176,0.003448345,3452,0.332306977,112.0556543
HSBC HOLDINGS PLC,2025 - H1,2.807952937,91598,0.603007376,0.003480895,3194,0.281956491,97.91263653
BARCLAYS PLC,2018 - H1,6.302837854,263864,0.466463784,0.057059697,5791,0.286460024,138.327828
BARCLAYS PLC,2018 - H2,6.462609233,254756,0.487336903,0.020505896,5695,0.303153644,144.469844
BARCLAYS PLC,2019 - H1,6.076257954,261497,0.577245628,0.072750357,5314,0.321189311,123.4784138
BARCLAYS PLC,2019 - H2,5.719407441,246708,0.567306289,0.050136193,4843,0.429369684,112.2747954
BARCLAYS PLC,2020 - H1,3.539983561,154015,0.586278259,0.039697432,4479,0.391800957,102.9483256
BARCLAYS PLC,2020 - H2,3.546202567,149518,0.584168689,0.08096684,6490,0.34257975,153.9269831
BARCLAYS PLC,2021 - H1,3.139189185,130914,0.586621752,0.047237117,6856,0.386251499,164.4001486
BARCLAYS PLC,2021 - H2,2.941561229,119717,0.598373731,0.02101623,4906,0.407968202,120.5451138
BARCLAYS PLC,2022 - H1,2.808344803,110412,0.617485551,0.027026048,4841,0.329967132,123.1315182
BARCLAYS PLC,2022 - H2,2.385755145,98076,0.63912605,0.028416738,4557,0.366369376,110.8516477
BARCLAYS PLC,2023 - H1,3.10743871,125642,0.638425049,0.035051973,5799,0.346930442,143.4236727
BARCLAYS PLC,2023 - H2,3.167660589,129510,0.633339877,0.038305922,5422,0.397339638,132.6156723
BARCLAYS PLC,2024 - H1,2.262661377,99669,0.628233668,0.042390312,5542,0.39207202,125.813135
BARCLAYS PLC,2024 - H2,2.077709826,85116,0.613731817,0.011607688,4813,0.360387126,117.4869283
BARCLAYS PLC,2025 - H1,3.814922817,156223,0.770998449,0.086145323,5040,0.276350309,123.0754178
BANCO SANTANDER SA,2018 - H1,5.59277171,145282,0.39685577,0.001927286,2645,0.277206049,101.8218442
BANCO SANTANDER SA,2018 - H2,4.692167605,121222,0.402187722,0.001790104,2633,0.313706798,101.9161316
BANCO SANTANDER SA,2019 - H1,4.332434995,112092,0.379830853,0.00229276,2549,0.411031777,98.5206509
BANCO SANTANDER SA,2019 - H2,4.466199757,113249,0.36978693,0.00265786,2205,0.423612198,86.95856445
BANCO SANTANDER SA,2020 - H1,3.050720955,76167,0.386921777,0.004017488,2040,0.385863622,81.70822992
BANCO SANTANDER SA,2020 - H2,3.108046541,77707,0.413065541,0.002998443,2726,0.408784455,109.0318102
BANCO SANTANDER SA,2021 - H1,3.039096406,74886,0.436810619,0.002417007,2984,0.423917622,121.099587
BANCO SANTANDER SA,2021 - H2,2.920747281,70353,0.416921709,0.002999161,2131,0.41938951,88.4697519
BANCO SANTANDER SA,2022 - H1,3.088413005,74903,0.416352892,0.008170567,2231,0.386005062,91.98896459
BANCO SANTANDER SA,2022 - H2,3.269304498,79474,0.461638569,0.003560913,2781,0.425067018,114.4013867
BANCO SANTANDER SA,2023 - H1,2.943145396,72977,0.466845719,0.006207435,3495,0.403263852,140.9525352
BANCO SANTANDER SA,2023 - H2,2.713753253,65872,0.489606438,0.008288803,3108,0.351623772,128.0414305
BANCO SANTANDER SA,2024 - H1,2.52,60610,0.4893,0.014997525,4516,0.407484978,187.7630754
BANCO SANTANDER SA,2024 - H2,2.46,59737,0.4806,0.004653732,5183,0.341809169,213.4385724
BANCO SANTANDER SA,2025 - H1,2.34,55350,0.473,0.0151,6038,0.311994559,255.2650407
NATIONWIDE BUILDING SOCIETY,2018 - H1,1.996762408,69809,0.621495796,0.011746336,1879,0.218701437,53.74545639
