Firm,Period,Complaints,Disputes per 1m,% of complainants who go to Ombudsman,Signposting,8 weeks
British Gas ,Q1 2024,1746,70.65,0.040463918,,0.17
EDF Energy,Q1 2024,2303,41.72,0.018115502,,0.05
Scottish Power,Q1 2024,1472,44.85,0.03046875,,0.13
Utility Warehouse,Q1 2024,1167,36.51,0.031285347,,0.01
OVO Energy,Q1 2024,2371,67.29,0.02838043,,0.09
E.ON Next ,Q1 2024,1709,34.12,0.019964892,,0.06
Octopus Energy,Q1 2024,1155,29.96,0.025939394,,0.11
Utilita Energy,Q1 2024,835,21.12,0.025293413,,0.05
British Gas ,Q2 2024,1530,62.4,0.042076871,,0.14
EDF Energy,Q2 2024,1934,34,0.017680707,,0.03
Scottish Power,Q2 2024,1303,33.4,0.025771605,,0.13
Utility Warehouse,Q2 2024,919,34,0.038812785,,0.01
OVO Energy,Q2 2024,2119,45.6,0.021933622,,0.14
E.ON Next ,Q2 2024,1248,30.3,0.024376508,,0.08
Octopus Energy,Q2 2024,1598,29.1,0.018406072,,0.1
Utilita Energy,Q2 2024,726,16.8,0.024561404,,0.06
British Gas ,Q3 2024,1427,53.7,0.037526205,,0.09
EDF Energy,Q3 2024,1361,27.2,0.020374532,,0.01
Scottish Power,Q3 2024,1227,29.3,0.024016393,,0.13
Utility Warehouse,Q3 2024,1285,27.2,0.022350041,,0.01
OVO Energy,Q3 2024,2009,32.9,0.016675114,,0.07
E.ON Next ,Q3 2024,1067,24.3,0.022946176,,0.08
Octopus Energy,Q3 2024,1841,27.9,0.015296053,,0.08
Utilita Energy,Q3 2024,673,12.2,0.018154762,,0.01
British Gas ,Q4 2024,1279,48,0.037676609,0.27,0.08
EDF Energy,Q4 2024,1369,26.6,0.019821162,0.51,0.05
Scottish Power,Q4 2024,1406,27.8,0.019885551,0.48,0.12
Utility Warehouse,Q4 2024,1523,18.7,0.012914365,0.56,0
OVO Energy,Q4 2024,1807,26.4,0.014814815,0.39,0.07
E.ON Next ,Q4 2024,959,21.2,0.02224554,0.55,0.09
Octopus Energy,Q4 2024,844,22.5,0.027043269,0.65,0.18
Utilita Energy,Q4 2024,923,11.1,0.012078346,0.41,0.03
British Gas ,Q1 2025,1168,53.4,0.04548552,0.25,0.11
EDF Energy,Q1 2025,1411,40.9,0.029552023,0.55,0.06
Scottish Power,Q1 2025,1672,33.1,0.019927754,0.48,0.1
Utility Warehouse,Q1 2025,1974,24.5,0.013011152,0.54,0
OVO Energy,Q1 2025,1804,27.9,0.015639013,0.42,0.06
E.ON Next ,Q1 2025,983,25,0.025588536,0.59,0.08
Octopus Energy,Q1 2025,747,22.1,0.029945799,0.65,0.17
Utilita Energy,Q1 2025,1048,17.1,0.016363636,0.41,0.04
British Gas ,Q2 2025,1192,53,0.045887446,0.28,0.18
EDF Energy,Q2 2025,1262,45,0.036144578,0.56,0.07
Scottish Power,Q2 2025,1508,32.7,0.021814543,0.53,0.12
Utility Warehouse,Q2 2025,1863,26.7,0.014991578,0.53,0
OVO Energy,Q2 2025,1530,23.3,0.015430464,0.42,0.07
E.ON Next ,Q2 2025,848,23.8,0.028333333,0.55,0.09
Octopus Energy,Q2 2025,570,20.9,0.037254902,0.6,0.21
Utilita Energy,Q2 2025,920,13.9,0.015174672,0.53,0.08
British Gas ,Q3 2025,1212,50,0.04091653,0.32,0.11
EDF Energy,Q3 2025,1174,44.8,0.03862069,0.58,0.08
Scottish Power,Q3 2025,1433,39.6,0.027867699,0.51,0.13
Utility Warehouse,Q3 2025,1628,27,0.017296605,0.43,0
OVO Energy,Q3 2025,1484,24.4,0.016712329,0.42,0.08
E.ON Next ,Q3 2025,877,21.8,0.025115207,0.58,0.08
Octopus Energy,Q3 2025,560,18.7,0.033938294,0.61,0.2
Utilita Energy,Q3 2025,937,11.8,0.012688172,0.58,0.05
